Source;Version;Titre;URL;Prix;Date
Yahoo;2001;【箱付き】【動作品】ザ・キング・オブ・ファイターズ 2001 ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/w1213662928;¥57,420;2026-01-01 13:36 UTC
Yahoo;2001;ネオジオ　キングオブファイターズ　2001 ロム　rom neogeo;https://page.auctions.yahoo.co.jp/jp/auction/w1214355970;¥68,000;2026-01-04 12:53 UTC
Yahoo;2001;ネオジオ　キングオブファイターズ2001 rom ロム　neogeo;https://page.auctions.yahoo.co.jp/jp/auction/z539374588;¥52,380;2026-01-08 00:46 UTC
Yahoo;2001;ザキングオブファイターズ2001 NG NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/z540097330;¥63,000;2026-01-14 06:42 UTC
Yahoo;2001;ザ・キング・オブ・ファイターズ2001 / NEOGEO ネオジオ;https://page.auctions.yahoo.co.jp/jp/auction/f1215563356;¥56,000;2026-01-18 12:34 UTC
Mercari;2001;【未使用】ネオジオROM KOF2001ザ・キングオブファイターズ2001;https://jp.mercari.com/item/m55767292721;¥59,000;2026-01-19 08:22 UTC
Yahoo;2001;●格闘ゲーム【kof2001 キングオブファイターズ2001】ネオジオROM レトロゲーム　箱　説明書あり　0206;https://page.auctions.yahoo.co.jp/jp/auction/u1218787593;¥65,000;2026-02-12 10:58 UTC
Yahoo;2001;ネオジオ NEO GEO THE KING OF FIGHTERS 2001 ザ・キング・オブ・ファイターズ ゲームカセット ゲームソフト 現状品;https://page.auctions.yahoo.co.jp/jp/auction/p1221275832;¥50,550;2026-03-02 14:12 UTC
Yahoo;2001;ザキングオブファイターズ2001 NG NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/z576859968;¥63,000;2026-03-18 01:55 UTC
Yahoo;2001;NEO GEO キング オブ ファイターズ2001 ROM ネオジオ KOF 動作確認済み 中古 箱・説明書付き SNK プレイモア;https://page.auctions.yahoo.co.jp/jp/auction/r1222996032;¥56,100;2026-03-18 12:45 UTC
Mercari;2001;【動作確認済・美品】NEOGEO KOF 2001 説明書付;https://jp.mercari.com/item/m11369509589;¥94,800;2026-04-14 04:19 UTC
Yahoo;2001;ザ・キング・オブ・ファイターズ 2001 KOF2001 THE KING OF FIGHTERS 2001 SNK NEOGEO 箱説明書付き ネオジオ;https://page.auctions.yahoo.co.jp/jp/auction/x1226393578;¥80,000;2026-04-17 14:13 UTC
Mercari;2001;ネオジオ ロム ザ キング オブ ファイターズ 2001 KOF2001 ROM;https://jp.mercari.com/item/m78055639874;¥85,000;2026-04-30 12:20 UTC
Yahoo;2001;ネオジオ ロムカセット ザ キング オブ ファイターズ 2001 KOF2001 NEO GEO ROM;https://page.auctions.yahoo.co.jp/jp/auction/z605187618;¥24,800;2026-05-08 12:55 UTC
Mercari;2001;ザ・キング・オブ・ファイターズ2001;https://jp.mercari.com/item/m60360584109;¥89,500;2026-05-10 13:31 UTC
Yahoo;2001;ザキングオブファイターズ2001 NG NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/z604264964;¥68,000;2026-05-10 23:49 UTC
Yahoo;2001;○NG ネオジオROM THE KING OF FIGHTERS ザ・キング・オブ・ファイターズ 2001 PLAYMORE プレイモア【IO;https://page.auctions.yahoo.co.jp/jp/auction/m1230334041;¥30,310;2026-05-23 13:05 UTC
Yahoo;2001;● 極美品 箱説付き●ネオジオ キングオブファイターズ2001 NEOGEO SNK コレクション;https://page.auctions.yahoo.co.jp/jp/auction/c1230225180;¥81,000;2026-05-24 13:39 UTC
Yahoo;2001;〈動作確認済み〉 NEOGEO ネオジオ ザ・キング・オブ・ファイターズ2001 THE KING OF FIGHTERS2001 KOF2001 NG;https://page.auctions.yahoo.co.jp/jp/auction/p1230590370;¥30,120;2026-05-24 13:48 UTC
